category,topk,trial,total,correct,accuracy,file
answer_type,,,49,39,79.59,MultiTQ_experiment_answer_type_gpu2.log
answer_type,,2,50,34,68.00,MultiTQ_experiment_answer_type_gpu1_trial2.log
answer_type,,2,50,35,70.00,MultiTQ_experiment_answer_type_gpu2_trial2.log
any,100,0,147,94,63.95,MultiTQ_experiment_any_gpu0_SIM_TOP_K100_trial0.log
any,100,1,147,101,68.71,MultiTQ_experiment_any_gpu1_SIM_TOP_K100_trial1.log
any,100,2,143,97,67.83,MultiTQ_experiment_any_gpu2_SIM_TOP_K100_trial2.log
any,1000,0,145,98,67.59,MultiTQ_experiment_any_gpu3_SIM_TOP_K1000_trial0.log
any,1000,1,147,94,63.95,MultiTQ_experiment_any_gpu3_SIM_TOP_K1000_trial1.log
any,1000,2,146,91,62.33,MultiTQ_experiment_any_gpu2_SIM_TOP_K1000_trial2.log
any,10000,0,148,94,63.51,MultiTQ_experiment_any_gpu1_SIM_TOP_K10000_trial0.log
any,10000,1,147,82,55.78,MultiTQ_experiment_any_gpu0_SIM_TOP_K10000_trial1.log
any,10000,2,146,106,72.60,MultiTQ_experiment_any_gpu0_SIM_TOP_K10000_trial2.log
qlabel,,,49,40,81.63,MultiTQ_experiment_qlabel_gpu1.log
qlabel,,2,48,37,77.08,MultiTQ_experiment_qlabel_gpu1_trial2.log
qlabel,,2,48,36,75.00,MultiTQ_experiment_qlabel_gpu2_trial2.log
qtype,,,30,22,73.33,MultiTQ_experiment_qtype_gpu0.log
qtype,,2,30,26,86.67,MultiTQ_experiment_qtype_gpu0_trial2.log
qtype,2000,,29,25,86.21,MultiTQ_experiment_qtype_gpu3_SIM_TOP_K2000.log
time_level,,,33,16,48.48,MultiTQ_experiment_time_level_gpu3.log
time_level,,2,33,11,33.33,MultiTQ_experiment_time_level_gpu2_trial2.log
time_level,,2,33,17,51.52,MultiTQ_experiment_time_level_gpu3_trial2.log
